Procentuele aandeel BEV, FCEV en PHEV personenauto's in het wagenpark;;;
;BEV;FCEV;PHEV
31 maart 2018;0,3%;0%;1,2%
30 juni 2018;0,3%;0%;1,2%
30 september 2018;0,4%;0%;1,1%
31 december 2018;0,5%;0%;1,1%
31 maart 2019;0,6%;0%;1,1%
30 juni 2019;0,7%;0%;1,1%
30 september 2019;0,9%;0%;1,1%
31 december 2019;1,2%;0%;1,1%
31 maart 2020;1,3%;0%;1,1%
30 juni 2020;1,4%;0%;1,1%
30 september 2020;1,6%;0%;1,2%
31 december 2020;2%;0%;1,1%
31 maart 2021;2%;0%;1,2%
30 juni 2021;2,2%;0%;1,4%
30 september 2021;2,4%;0%;1,5%
31 december 2021;2,8%;0%;1,6%
31 maart 2022;3%;0%;1,7%
30 juni 2022;3,2%;0%;1,9%
30 september 2022;3,4%;0%;2%
31 december 2022;3,7%;0%;2,1%
31 maart 2023;3,9%;0%;2,3%
30 juni 2023;4,3%;0%;2,5%
30 september 2023;4,6%;0%;2,7%
31 december 2023;4,9%;0%;2,9%
31 maart 2024;5,2%;0%;3,2%
30 juni 2024;5,5%;0%;3,5%
30 september 2024;5,8%;0%;3,8%
31 december 2024;6,1%;0%;4,1%
28 februari 2025;6,3%;0%;4,3%
31 maart 2025;6,3%;0%;4,4%
30 april 2025;6,4%;0%;4,6%
31 mei 2025;6,5%;0%;4,7%
30 juni 2025;6,6%;0%;4,8%
31 juli 2025;6,7%;0%;5%
31 augustus 2025;6,7%;0%;5,1%
30 september 2025;6,9%;0%;5,2%
;;;
Bron;Brondata: RDW - Bewerkt door: RVO;;
;;;
duurzamemobiliteit.databank.nl;;;
;;;
Datum export;woensdag 15 oktober 2025;;
